window,n_layers,n_heads,n_channels,d_time_embedding,d_feature_embedding,d_diffusion_embedding,n_diffusion_steps,batch_size,lr,mse,variance
1000,1,1,8,32,3,32,5,16,0.001,1.082804254,
1000,4,1,8,32,3,32,5,16,0.001,0.054607216,
1000,7,1,8,32,3,32,5,16,0.001,0.067143947,
,,,,,,,,,,,0.348152029
1000,4,1,8,32,3,32,5,16,0.001,0.061585551,
1000,4,4,8,32,3,32,5,16,0.001,0.060481368,
1000,4,8,8,32,3,32,5,16,0.001,0.244125184,
,,,,,,,,,,,0.011174498
1000,1,1,1,32,3,32,5,16,0.001,5.085769173,
1000,1,1,4,32,3,32,5,16,0.001,0.798202133,
1000,1,1,8,32,3,32,5,16,0.001,0.912251524,
,,,,,,,,,,,5.969081326
1000,1,1,2,16,3,32,5,16,0.001,2.668644084,
1000,1,1,2,64,3,32,5,16,0.001,3.117006686,
1000,1,1,2,256,3,32,5,16,0.001,3.260906451,
,,,,,,,,,,,0.09541848
1000,1,1,2,16,1,32,5,16,0.001,3.587911837,
1000,1,1,2,16,4,32,5,16,0.001,2.91281617,
1000,1,1,2,16,8,32,5,16,0.001,2.731477437,
,,,,,,,,,,,0.203686296
1000,1,1,2,16,4,16,5,16,0.001,2.953175746,
1000,1,1,2,16,4,64,5,16,0.001,5.072994289,
1000,1,1,2,16,4,256,5,16,0.001,5.083465022,
,,,,,,,,,,,1.505312114
1000,1,1,2,16,4,16,1,16,0.001,2.132429853,
1000,1,1,2,16,4,16,3,16,0.001,2.523499,
1000,1,1,2,16,4,16,5,16,0.001,2.801205124,
,,,,,,,,,,,0.112886022
1000,1,1,2,16,4,16,1,16,0.001,2.133662727,
1000,1,1,2,16,4,16,1,64,0.001,2.123331016,
1000,1,1,2,16,4,16,1,256,0.001,2.130283015,
,,,,,,,,,,,2.77495E-05
1000,1,1,2,16,4,16,1,16,0.0001,2.110966444,
1000,1,1,2,16,4,16,1,16,0.001,2.114004214,
1000,1,1,2,16,4,16,1,16,0.01,2.117701813,
1000,1,1,2,16,4,16,1,16,0.1,2.115902164,
,,,,,,,,,,,8.28898E-06
1000,1,1,2,16,4,16,1,16,0.0001,2.110966444,
500,1,1,2,16,4,16,1,16,0.0001,2.118747844,
100,1,1,2,16,4,16,1,16,0.0001,2.122057815,
50,1,1,2,16,4,16,1,16,0.0001,2.118990575,
,,,,,,,,,,,2.23648E-05
