window,batch_size,n_layers,top_k,d_model,d_ffn_ratio,n_kernels,dropout,lr,mse,,
1000,16,3,2,16,1,1,0.3,0.0005,0.922673649,,
1000,64,3,2,16,1,1,0.3,0.0005,0.88573011,,
1000,256,3,2,16,1,1,0.3,0.0005,0.905433655,,
,,,,,,,,,,0.000341712,
1000,64,1,2,16,1,1,0.3,0.0005,0.886068259,,
1000,64,4,2,16,1,1,0.3,0.0005,0.886131504,,
1000,64,7,2,16,1,1,0.3,0.0005,0.885877063,,
,,,,,,,,,,1.75494E-08,
1000,64,1,1,16,1,1,0.3,0.0005,0.883651647,,
1000,64,1,3,16,1,1,0.3,0.0005,0.888078476,,
1000,64,1,5,16,1,1,0.3,0.0005,0.883744738,,
,,,,,,,,,,6.39779E-06,
1000,64,1,1,16,1,1,0.3,0.0005,0.875596808,,
1000,64,1,1,64,1,1,0.3,0.0005,0.869747241,,
1000,64,1,1,256,1,1,0.3,0.0005,0.870635375,,
,,,,,,,,,,9.937E-06,
1000,64,1,1,128,1,1,0.3,0.0005,0.879264503,,
1000,64,1,1,128,2,1,0.3,0.0005,0.874819554,,
1000,64,1,1,128,3,1,0.3,0.0005,0.877846968,,
1000,64,1,1,128,4,1,0.3,0.0005,0.911990762,,
,,,,,,,,,,0.00030412,
1000,64,1,1,128,2,1,0.3,0.0005,0.866869849,,
1000,64,1,1,128,2,3,0.3,0.0005,0.298020146,,
1000,64,1,1,128,2,5,0.3,0.0005,0.213715215,,
,,,,,,,,,,0.126218047,
1000,64,1,1,128,2,1,0,0.0005,0.862174113,,
1000,64,1,1,128,2,1,0.2,0.0005,0.86329453,,
1000,64,1,1,128,2,1,0.4,0.0005,0.869778391,,
,,,,,,,,,,1.68535E-05,
1000,64,1,1,128,2,1,0.2,0.0001,0.879577823,,
1000,64,1,1,128,2,1,0.2,0.001,0.88561681,,
1000,64,1,1,128,2,1,0.2,0.01,0.881145882,,
,,,,,,,,,,9.81956E-06,
,,,,,,,,,,,
1000,64,1,1,128,2,1,0.2,0.001,0.88561681,,
500,64,1,1,128,2,1,0.2,0.001,0.866288707,,
100,64,1,1,128,2,1,0.2,0.001,0.885316714,,
50,64,1,1,128,2,1,0.2,0.001,0.887203564,,
,,,,,,,,,,9.827E-05,
